x	y	z
-70.0137	-180.778	0
-29.5148	-190.486	0
-10.0035	-220.112	0
11.0368	-152.105	0
29.9984	-200.787	0
50.2477	-130.133	0
71.7743	-161.775	0
-9.9935	229.505	0
-69.2808	-162.333	0
-52.2034	-130.483	0
25.9793	-166.078	0
30.0426	-184.353	0
70.1815	-143.95	0
102.359	-110.69	0
50.0844	110.257	0
-169.85	-129.386	0
-101.366	-118.987	0
-84.171	-121.913	0
-49.1827	-97.2438	0
-6.61874	-95.2246	0
52.6595	-113.905	0
67.6173	-106.713	0
97.4377	-91.1052	0
130.504	-70.0162	0
-151.705	-132.902	0
-149.915	-152.196	0
-91.6056	-106.221	0
-77.6123	-62.4177	0
-35.1764	-90.5714	0
25.427	-64.5081	0
38.1806	-72.3428	0
114.192	-70.0412	0
82.0042	-63.38	0
161.065	12.2784	0
-171.612	-112.52	0
-155.249	-114.734	0
-126.356	-53.9303	0
-104.19	-73.7426	0
0.388283	-42.2639	0
8.20693	-88.2115	0
24.4364	-80.3255	0
-12.8455	-31.7458	0
81.8928	-27.9365	0
148.753	-0.582147	0
175.808	-29.8165	0
-217.347	-13.9717	0
-213.489	-89.693	0
-137.703	-67.2125	0
-110.181	-56.9694	0
-62.7545	-50.749	0
-27.3572	-21.6011	0
-28.396	-38.9023	0
46.9569	21.6539	0
35.3687	-21.1852	0
81.1856	-10.8499	0
134.813	12.8877	0
131.239	-6.12454	0
-189.448	-109.628	0
-154.151	-17.6963	0
-149.002	-34.1411	0
-112.566	4.27889	0
-98.0437	-43.7987	0
-63.6544	47.1871	0
38.6894	-54.8879	0
32.984	12.2262	0
114.509	-27.9431	0
114.995	8.35707	0
110.272	29.86	0
-190.004	29.4028	0
-171.256	-13.6008	0
-175.229	3.47074	0
-129.5	7.9091	0
-90.8474	-15.1676	0
-41.0237	-28.08	0
-35.6779	40.699	0
14.1053	38.9162	0
-12.0905	79.3673	0
89.1557	48.5201	0
129.731	69.668	0
177.015	9.8535	0
-213.096	13.7518	0
-176.396	69.3952	0
-169.72	54.2661	0
-156.591	99.2272	0
-89.858	71.5727	0
-73.2686	76.5989	0
-31.4238	57.4376	0
45.5546	55.6125	0
60.3277	48.1362	0
108.727	73.3892	0
110.712	50.7847	0
-189.093	89.9886	0
-169.214	86.0129	0
-106.547	66.5384	0
-64.8781	109.919	0
-98.5145	100.342	0
-23.9408	91.0792	0
-15.4018	125.306	0
33.5449	81.0577	0
111.915	92.5925	0
110.072	110.806	0
-170.331	109.107	0
-150.994	83.1603	0
-98.7219	146.683	0
-43.5514	132.056	0
-39.2267	149.791	0
-31.9107	120.22	0
4.503	84.8726	0
63.1236	98.742	0
130.141	89.9253	0
-81.3114	197.356	0
-148.867	130.341	0
-94.4448	164.615	0
-60.2397	126.726	0
-15.8245	176.983	0
-11.0837	142.27	0
-13.0897	211.418	0
70	193.077	0
-59.6262	198.209	0
-30.861	211.58	0
-38.0162	195.494	0
-100.9	193.517	0
19.0351	2.25365	0
-23.1813	29.2837	0
3.63857	8.78699	0
-80.9291	-92.2345	0
62.4105	13.3014	0
-37.561	-128.298	0
-88.5595	133.889	0
88.9321	31.6707	0
20.0276	18.9869	0
-66.9238	154.821	0
149.947	29.597	0
-76.2693	-138.41	0
-43.9032	166.59	0
120.592	-109.989	0
-8.06089	-112.338	0
13.0823	117.601	0
78.0574	91.498	0
-2.83109	-60.5549	0
-25.7379	-155.472	0
33.5449	99.4798	0
21.3998	-114.158	0
-60.1656	-146.621	0
-11.3944	-165.257	0
81.9398	-45.2428	0
-9.01554	-129.828	0
-137.766	110.234	0
6.90887	-170.998	0
76.1746	22.3875	0
-9.68548	-201.866	0
100.314	40.6619	0
44.2464	-170.03	0
35.1329	-124.357	0
-69.7649	184.024	0
9.52302	-70.9933	0
-191.458	9.53739	0
38.0642	-89.3642	0
94.4923	102.438	0
-110.39	112.76	0
-201.804	-20.161	0
-137.452	72.2756	0
-150.733	28.3688	0
94.8416	-54.5774	0
110.26	-50.063	0
-43.1501	-47.1638	0
-146.073	11.5403	0
-100.603	16.9982	0
3.82139	-24.7046	0
-15.5225	-49.0204	0
-137.354	-112.927	0
-95.7238	1.29848	0
-67.5823	10.274	0
-102.973	83.4764	0
-56.6635	81.2713	0
-120.819	-70.2596	0
-14.9396	62.3429	0
53.9978	-63.2381	0
66.2001	-20.1804	0
-27.6079	137.487	0
-155.418	115.539	0
-0.704404	51.283	0
44.8564	132.284	0
-83.7201	13.9591	0
67.3804	-89.2069	0
3.41508	26.3396	0
70	160.017	0
-134.986	90.6599	0
30.1558	47.142	0
-87.2494	-76.3325	0
31.3189	64.433	0
-88.526	28.9934	0
70	177.127	0
96.8321	-18.761	0
-44.4647	69.6004	0
-125.945	-99.8654	0
96.8521	-36.4049	0
130.054	30.2304	0
-107.983	177.804	0
-40.4157	86.1993	0
-81.0355	-48.1037	0
-8.258	96.3374	0
18.5342	90.9915	0
-196.153	-91.6908	0
77.1046	73.9948	0
-194.727	-52.3493	0
-142.711	-96.7423	0
-124.789	-8.49013	0
-160.577	-47.1851	0
-102.942	-27.953	0
-87.6959	-30.3593	0
-78.4118	-2.51472	0
-59.4618	-66.9904	0
-19.9549	47.12	0
-42.7008	5.46359	0
-131.562	157.971	0
67.4137	-72.1429	0
159.942	-32.1335	0
34.2037	-5.45294	0
129.85	-51.4128	0
9.43216	169.972	0
5.93843	-121.899	0
-52.5827	98.1456	0
91.7803	65.6393	0
66.9697	-36.8068	0
-185.67	-27.1902	0
-149.309	-80.5357	0
-188.138	-8.02792	0
-87.9416	181.36	0
-27.1939	-172.832	0
50.2721	-12.5437	0
-119.736	77.7772	0
-50.4923	183.355	0
-26.9268	162.895	0
-158.518	-1.34071	0
-65.0954	-94.0215	0
-10.1964	18.9897	0
-22.5611	-102.42	0
81.9198	-97.85	0
-132.763	-129.871	0
-134.073	24.1812	0
-143.409	-50.3938	0
92.8577	82.6989	0
-107.993	-11.5342	0
21.1788	133.441	0
-76.8521	121.743	0
-48.1462	114.95	0
-98.5214	-89.6169	0
-204.537	-1.95031	0
-34.012	-74.2314	0
-46.8307	-62.6776	0
76.7502	109.41	0
-20.4792	-84.7074	0
-21.0233	193.303	0
-30.2297	-56.3298	0
9.36489	-54.5874	0
-54.44	18.3316	0
31.6051	118.102	0
-51.2703	-80.3391	0
-23.7374	-137.849	0
-7.52785	160.788	0
-19.2059	-67.7911	0
-48.0516	52.3417	0
-162.479	15.0464	0
66.4936	125.046	0
-6.31984	34.8447	0
-69.5215	27.6096	0
-117.358	95.9314	0
-32.7745	179.545	0
-27.6087	74.4669	0
37.2871	-38.4625	0
97.0657	-71.5632	0
7.23669	-104.778	0
95.5509	-1.51648	0
8.04368	101.082	0
25.6701	-45.7543	0
53.7023	-81.0344	0
19.4828	-14.5753	0
-141.772	-4.87038	0
-166.192	-30.4608	0
82.6012	-80.5563	0
-154	-63.4599	0
47.5134	89.7654	0
68.3008	-125.49	0
-105.721	129.734	0
-117.421	20.6607	0
-120.385	-24.4471	0
15.2239	56.472	0
-88.9408	-152.816	0
-69.3223	-34.1467	0
-114.878	-86.663	0
-12.8122	-182.673	0
-70.7456	-80.7484	0
-52.371	35.1356	0
74.5009	57.8734	0
